UPC,FC,Linked Asin,tt_id,
8.08124E+11,HOU2,"['B00R1OZZUI', 'B00T7PGYIG']",559681192,21:09.2
16000486966,STL8,"['B00KRFKEZY', 'B07CSSH68F']",559681193,21:11.4
38000172755,SLC1,"['B077YQZLS5', 'B07GX2B28X']",559686505,21:14.3
19800702083,BHM1,"['B01GFLZ4DU', 'B06X9SVCTS']",559682371,21:16.2
13562493975,CMH1,"['B076B3Q7XB', 'B07CSQNBBZ']",559684349,21:18.4
16000486966,CMH1,"['B00KRFKEZY', 'B07CSSH68F']",559682177,21:21.1
19800703318,RDU1,"['B01GFLZ14C', 'B074NB5VGH']",559684435,21:23.3
8.08124E+11,HOU2,"['B00NJYHI8G', 'B00T7PH70K']",559685544,21:25.4
16000458918,CMH1,"['B00GABNR3A', 'B00Z9YTMZQ']",559686217,21:27.4
16000468139,MCO1,"['B0199RG9SQ', 'B01BK9O3D4']",559681194,21:29.6
16000458918,PHX6,"['B00GABNR3A', 'B00Z9YTMZQ']",559684251,21:32.2
51500247693,IND1,"['B00061ETX2', 'B014M6LTSO']",559681890,21:34.9
16000485877,PSP1,"['B00GAQ2LVO', 'B07GB61TH2']",559684252,21:37.6
31600153100,MCO1,"['B000P8BC90', 'B010NPG1BS']",559681891,21:40.3
38000172755,GYR1,"['B077YQZLS5', 'B07GX2B28X']",Exception,21:40.3
46500766497,EWR9,"['B0184LAVXW', 'B074G41HGM']",559681893,21:43.0
13562289738,CMH1,"['B076HST3Z9', 'B07CSTF57F']",559681988,21:45.6
38000172755,RDU1,"['B077YQZLS5', 'B07GX2B28X']",559683240,21:47.9
13562289721,BHM1,"['B076HMT49K', 'B07CSSPRFG']",559681195,21:50.2
38000172755,MDW7,"['B077YQZLS5', 'B07GX2B28X']",559681989,21:53.0
19800702083,TUS1,"['B01GFLZ4DU', 'B06X9SVCTS']",559684740,21:55.1
21000064991,DTW1,"['B06XXJGVB9', 'B06ZXWBPFZ']",559684637,21:58.1
16000278554,DTW1,"['B00A1A7Y7G', 'B00R1H0V18']",559683242,22:00.3
25500203614,CMH4,"['B00R92VMT0', 'B01ERBW6O0']",559683170,22:02.5
16000468139,DTW1,"['B0199RG9SQ', 'B01BK9O3D4']",559686507,22:05.1
38000172755,STL8,"['B077YQZLS5', 'B07GX2B28X']",559682859,22:07.2
8.08124E+11,LGB7,"['B007TGQJH6', 'B00T7PG422']",559684142,22:09.4
38000172755,CLE2,"['B077YQZLS5', 'B07GX2B28X']",559683858,22:11.5
38000172755,PCW1,"['B077YQZLS5', 'B07GX2B28X']",Exception,22:11.5
